,miRNA,70459-genome-miRNAcount,miRNA,70460-genome-miRNAcount,miRNA,70461-genome-miRNAcount,miRNA,74665-genome-miRNAcount,miRNA,74666-genome-miRNAcount,miRNA,74667-genome-miRNAcount,miRNA,74668-genome-miRNAcount,miRNA,74669-genome-miRNAcount,miRNA,74670-genome-miRNAcount,miRNA,74671-genome-miRNAcount,miRNA,74672-genome-miRNAcount,miRNA,74673-genome-miRNAcount,miRNA,74674-genome-miRNAcount,miRNA,74675-genome-miRNAcount,miRNA,74676-genome-miRNAcount,miRNA,74677-genome-miRNAcount,miRNA,74678-genome-miRNAcount,miRNA,74679-genome-miRNAcount,miRNA,74680-genome-miRNAcount,miRNA,74681-genome-miRNAcount,miRNA,74682-genome-miRNAcount
2604,hsa-miR-6894-5p,0,       5,hsa-miR-11181-5p,hsa-miR-7156-3p,0,hsa-miR-6877-5p,5,hsa-miR-7112-3p,0,hsa-miR-6849-3p,0,hsa-miR-708-3p,0,hsa-miR-7114-5p,0,hsa-miR-6895-5p,0,hsa-miR-6834-3p,0,hsa-miR-7849-3p,0,hsa-miR-6883-5p,0,hsa-miR-6888-3p,0,hsa-miR-6842-5p,1,hsa-miR-7151-5p,0,hsa-miR-6809-3p,0,hsa-miR-6893-5p,0,hsa-miR-6871-3p,0,hsa-miR-7-1-3p,0,hsa-miR-7108-5p,0,hsa-miR-711,0
2605,hsa-miR-6895-3p,0,       5,hsa-miR-1224-3p,hsa-miR-7156-5p,0,hsa-miR-6878-3p,0,hsa-miR-7112-5p,0,hsa-miR-6849-5p,0,hsa-miR-708-5p,0,hsa-miR-7150,0,hsa-miR-7-1-3p,0,hsa-miR-6834-5p,0,hsa-miR-7850-5p,0,hsa-miR-6884-3p,0,hsa-miR-6888-5p,0,hsa-miR-6843-3p,0,hsa-miR-7152-3p,0,hsa-miR-6809-5p,0,hsa-miR-6894-3p,0,hsa-miR-6871-5p,0,hsa-miR-7-2-3p,0,hsa-miR-7109-3p,0,hsa-miR-7110-3p,0
2606,hsa-miR-6895-5p,0,       5,hsa-miR-129-2-3p,hsa-miR-7157-3p,0,hsa-miR-6878-5p,0,hsa-miR-7113-3p,0,hsa-miR-6850-3p,0,hsa-miR-7106-3p,0,hsa-miR-7151-3p,0,hsa-miR-7-2-3p,0,hsa-miR-6835-3p,0,hsa-miR-7851-3p,0,hsa-miR-6884-5p,0,hsa-miR-6889-3p,0,hsa-miR-6844,0,hsa-miR-7152-5p,0,hsa-miR-6810-3p,1,hsa-miR-6894-5p,0,hsa-miR-6872-3p,0,hsa-miR-7-5p,1,hsa-miR-7109-5p,0,hsa-miR-7110-5p,0
2607,hsa-miR-7-1-3p,0,       5,hsa-miR-18a-5p,hsa-miR-7157-5p,0,hsa-miR-6879-3p,0,hsa-miR-7113-5p,0,hsa-miR-6850-5p,0,hsa-miR-7106-5p,0,hsa-miR-7151-5p,0,hsa-miR-7-5p,0,hsa-miR-6835-5p,0,hsa-miR-7852-3p,0,hsa-miR-6885-3p,0,hsa-miR-6889-5p,0,hsa-miR-6845-3p,0,hsa-miR-7153-3p,0,hsa-miR-6810-5p,0,hsa-miR-6895-3p,0,hsa-miR-6872-5p,0,hsa-miR-708-3p,0,hsa-miR-711,0,hsa-miR-7111-3p,0
2608,hsa-miR-7-2-3p,0,       5,hsa-miR-198,hsa-miR-7158-3p,0,hsa-miR-6879-5p,0,hsa-miR-7114-3p,0,hsa-miR-6851-3p,0,hsa-miR-7107-3p,0,hsa-miR-7152-3p,0,hsa-miR-708-3p,0,hsa-miR-6836-3p,0,hsa-miR-7853-5p,0,hsa-miR-6885-5p,0,hsa-miR-6890-3p,0,hsa-miR-6845-5p,0,hsa-miR-7153-5p,0,hsa-miR-6811-3p,0,hsa-miR-6895-5p,0,hsa-miR-6873-3p,0,hsa-miR-708-5p,0,hsa-miR-7110-3p,0,hsa-miR-7111-5p,0
2609,hsa-miR-7-5p,0,       5,hsa-miR-203b-3p,hsa-miR-7158-5p,0,hsa-miR-6880-3p,0,hsa-miR-7114-5p,0,hsa-miR-6851-5p,0,hsa-miR-7107-5p,0,hsa-miR-7152-5p,0,hsa-miR-708-5p,0,hsa-miR-6836-5p,0,hsa-miR-7854-3p,0,hsa-miR-6886-3p,0,hsa-miR-6890-5p,0,hsa-miR-6846-3p,0,hsa-miR-7154-3p,0,hsa-miR-6811-5p,0,hsa-miR-7-1-3p,0,hsa-miR-6873-5p,0,hsa-miR-7106-3p,0,hsa-miR-7110-5p,0,hsa-miR-7112-3p,0
2610,hsa-miR-708-3p,0,       5,hsa-miR-204-5p,hsa-miR-7159-3p,0,hsa-miR-6880-5p,0,hsa-miR-7150,0,hsa-miR-6852-3p,0,hsa-miR-7108-3p,0,hsa-miR-7153-3p,0,hsa-miR-7106-3p,0,hsa-miR-6837-3p,2,hsa-miR-7855-5p,0,hsa-miR-6886-5p,0,hsa-miR-6891-3p,0,hsa-miR-6846-5p,0,hsa-miR-7154-5p,0,hsa-miR-6812-3p,1,hsa-miR-7-2-3p,0,hsa-miR-6874-3p,0,hsa-miR-7106-5p,0,hsa-miR-7111-3p,0,hsa-miR-7112-5p,0
2611,hsa-miR-708-5p,0,       5,hsa-miR-33a-3p,hsa-miR-7159-5p,0,hsa-miR-6881-3p,0,hsa-miR-7151-3p,0,hsa-miR-6852-5p,0,hsa-miR-7108-5p,0,hsa-miR-7153-5p,0,hsa-miR-7106-5p,0,hsa-miR-6837-5p,0,hsa-miR-7856-5p,0,hsa-miR-6887-3p,0,hsa-miR-6891-5p,0,hsa-miR-6847-3p,0,hsa-miR-7155-3p,0,hsa-miR-6812-5p,0,hsa-miR-7-5p,0,hsa-miR-6874-5p,0,hsa-miR-7107-3p,0,hsa-miR-7111-5p,0,hsa-miR-7113-3p,0
2612,hsa-miR-7106-3p,0,       5,hsa-miR-431-3p,hsa-miR-7160-3p,0,hsa-miR-6881-5p,0,hsa-miR-7151-5p,0,hsa-miR-6853-3p,0,hsa-miR-7109-3p,0,hsa-miR-7154-3p,0,hsa-miR-7107-3p,0,hsa-miR-6838-3p,0,hsa-miR-7973,0,hsa-miR-6887-5p,0,hsa-miR-6892-3p,0,hsa-miR-6847-5p,2,hsa-miR-7155-5p,0,hsa-miR-6813-3p,0,hsa-miR-708-3p,0,hsa-miR-6875-3p,0,hsa-miR-7107-5p,0,hsa-miR-7112-3p,0,hsa-miR-7113-5p,0
2613,hsa-miR-7106-5p,0,       5,hsa-miR-571,hsa-miR-7160-5p,0,hsa-miR-6882-3p,0,hsa-miR-7152-3p,0,hsa-miR-6853-5p,0,hsa-miR-7109-5p,0,hsa-miR-7154-5p,0,hsa-miR-7107-5p,0,hsa-miR-6838-5p,0,hsa-miR-7974,0,hsa-miR-6888-3p,0,hsa-miR-6892-5p,0,hsa-miR-6848-3p,0,hsa-miR-7156-3p,0,hsa-miR-6813-5p,0,hsa-miR-708-5p,0,hsa-miR-6875-5p,0,hsa-miR-7108-3p,0,hsa-miR-7112-5p,0,hsa-miR-7114-3p,0
2614,hsa-miR-7107-3p,0,       5,hsa-miR-575,hsa-miR-7161-3p,0,hsa-miR-6882-5p,0,hsa-miR-7152-5p,0,hsa-miR-6854-3p,0,hsa-miR-711,0,hsa-miR-7155-3p,0,hsa-miR-7108-3p,0,hsa-miR-6839-3p,0,hsa-miR-7975,0,hsa-miR-6888-5p,0,hsa-miR-6893-3p,0,hsa-miR-6848-5p,0,hsa-miR-7156-5p,0,hsa-miR-6814-3p,0,hsa-miR-7106-3p,0,hsa-miR-6876-3p,0,hsa-miR-7108-5p,0,hsa-miR-7113-3p,0,hsa-miR-7114-5p,0
2615,hsa-miR-7107-5p,0,       5,hsa-miR-642b-3p,hsa-miR-7161-5p,0,hsa-miR-6883-3p,0,hsa-miR-7153-3p,0,hsa-miR-6854-5p,0,hsa-miR-7110-3p,0,hsa-miR-7155-5p,0,hsa-miR-7108-5p,0,hsa-miR-6839-5p,0,hsa-miR-7976,0,hsa-miR-6889-3p,0,hsa-miR-6893-5p,0,hsa-miR-6849-3p,0,hsa-miR-7157-3p,0,hsa-miR-6814-5p,0,hsa-miR-7106-5p,0,hsa-miR-6876-5p,0,hsa-miR-7109-3p,0,hsa-miR-7113-5p,0,hsa-miR-7150,0
2616,hsa-miR-7108-3p,0,       5,hsa-miR-643,hsa-miR-7162-3p,0,hsa-miR-6883-5p,0,hsa-miR-7153-5p,0,hsa-miR-6855-3p,2,hsa-miR-7110-5p,0,hsa-miR-7156-3p,0,hsa-miR-7109-3p,0,hsa-miR-6840-3p,1,hsa-miR-7977,0,hsa-miR-6889-5p,0,hsa-miR-6894-3p,0,hsa-miR-6849-5p,0,hsa-miR-7157-5p,0,hsa-miR-6815-3p,0,hsa-miR-7107-3p,0,hsa-miR-6877-3p,0,hsa-miR-7109-5p,0,hsa-miR-7114-3p,0,hsa-miR-7151-3p,0
2617,hsa-miR-7108-5p,0,       5,hsa-miR-651-3p,hsa-miR-7162-5p,0,hsa-miR-6884-3p,0,hsa-miR-7154-3p,0,hsa-miR-6855-5p,0,hsa-miR-7111-3p,0,hsa-miR-7156-5p,0,hsa-miR-7109-5p,0,hsa-miR-6840-5p,0,hsa-miR-7978,0,hsa-miR-6890-3p,0,hsa-miR-6894-5p,0,hsa-miR-6850-3p,0,hsa-miR-7158-3p,0,hsa-miR-6815-5p,1,hsa-miR-7107-5p,0,hsa-miR-6877-5p,15,hsa-miR-711,0,hsa-miR-7114-5p,0,hsa-miR-7151-5p,0
2618,hsa-miR-7109-3p,0,       5,hsa-miR-99b-3p,hsa-miR-718,0,hsa-miR-6884-5p,0,hsa-miR-7154-5p,0,hsa-miR-6856-3p,0,hsa-miR-7111-5p,0,hsa-miR-7157-3p,0,hsa-miR-711,0,hsa-miR-6841-3p,0,hsa-miR-802,0,hsa-miR-6890-5p,0,hsa-miR-6895-3p,0,hsa-miR-6850-5p,0,hsa-miR-7158-5p,0,hsa-miR-6816-3p,0,hsa-miR-7108-3p,0,hsa-miR-6878-3p,0,hsa-miR-7110-3p,0,hsa-miR-7150,0,hsa-miR-7152-3p,0
2619,hsa-miR-7109-5p,0,       6,hsa-let-7a-3p,hsa-miR-744-3p,0,hsa-miR-6885-3p,0,hsa-miR-7155-3p,0,hsa-miR-6856-5p,0,hsa-miR-7112-3p,0,hsa-miR-7157-5p,0,hsa-miR-7110-3p,0,hsa-miR-6841-5p,0,hsa-miR-8052,0,hsa-miR-6891-3p,0,hsa-miR-6895-5p,0,hsa-miR-6851-3p,0,hsa-miR-7159-3p,0,hsa-miR-6816-5p,0,hsa-miR-7108-5p,0,hsa-miR-6878-5p,0,hsa-miR-7110-5p,0,hsa-miR-7151-3p,0,hsa-miR-7152-5p,0
2620,hsa-miR-711,0,       6,hsa-miR-129-2-3p,hsa-miR-744-5p,15,hsa-miR-6885-5p,0,hsa-miR-7155-5p,0,hsa-miR-6857-3p,0,hsa-miR-7112-5p,0,hsa-miR-7158-3p,0,hsa-miR-7110-5p,0,hsa-miR-6842-3p,35,hsa-miR-8053,0,hsa-miR-6891-5p,0,hsa-miR-7-1-3p,0,hsa-miR-6851-5p,0,hsa-miR-7159-5p,0,hsa-miR-6817-3p,1,hsa-miR-7109-3p,0,hsa-miR-6879-3p,0,hsa-miR-7111-3p,0,hsa-miR-7151-5p,0,hsa-miR-7153-3p,0
2621,hsa-miR-7110-3p,0,       6,hsa-miR-130a-5p,hsa-miR-744-5p,35,hsa-miR-6886-3p,0,hsa-miR-7156-3p,0,hsa-miR-6857-5p,0,hsa-miR-7113-3p,0,hsa-miR-7158-5p,0,hsa-miR-7111-3p,0,hsa-miR-6842-5p,1,hsa-miR-8054,0,hsa-miR-6892-3p,0,hsa-miR-7-2-3p,0,hsa-miR-6852-3p,0,hsa-miR-7160-3p,0,hsa-miR-6817-5p,0,hsa-miR-7109-5p,0,hsa-miR-6879-5p,0,hsa-miR-7111-5p,0,hsa-miR-7152-3p,0,hsa-miR-7153-5p,0
2622,hsa-miR-7110-5p,0,       6,hsa-miR-134-3p,hsa-miR-7515,0,hsa-miR-6886-5p,0,hsa-miR-7156-5p,0,hsa-miR-6858-3p,0,hsa-miR-7113-5p,0,hsa-miR-7159-3p,0,hsa-miR-7111-5p,0,hsa-miR-6843-3p,0,hsa-miR-8055,0,hsa-miR-6892-5p,0,hsa-miR-7-5p,0,hsa-miR-6852-5p,0,hsa-miR-7160-5p,0,hsa-miR-6818-3p,2,hsa-miR-711,0,hsa-miR-6880-3p,0,hsa-miR-7112-3p,0,hsa-miR-7152-5p,0,hsa-miR-7154-3p,0
2623,hsa-miR-7111-3p,0,       6,hsa-miR-181c-3p,hsa-miR-758-3p,0,hsa-miR-6887-3p,0,hsa-miR-7157-3p,0,hsa-miR-6858-5p,0,hsa-miR-7114-3p,0,hsa-miR-7159-5p,0,hsa-miR-7112-3p,0,hsa-miR-6844,0,hsa-miR-8056,0,hsa-miR-6893-3p,0,hsa-miR-708-3p,0,hsa-miR-6853-3p,1,hsa-miR-7161-3p,0,hsa-miR-6818-5p,0,hsa-miR-7110-3p,0,hsa-miR-6880-5p,0,hsa-miR-7112-5p,0,hsa-miR-7153-3p,0,hsa-miR-7154-5p,0
2624,hsa-miR-7111-5p,0,       6,hsa-miR-301b-5p,hsa-miR-758-5p,0,hsa-miR-6887-5p,0,hsa-miR-7157-5p,0,hsa-miR-6859-3p,2,hsa-miR-7114-5p,0,hsa-miR-7160-3p,0,hsa-miR-7112-5p,0,hsa-miR-6845-3p,0,hsa-miR-8057,0,hsa-miR-6893-5p,0,hsa-miR-708-5p,0,hsa-miR-6853-5p,0,hsa-miR-7161-5p,0,hsa-miR-6819-3p,0,hsa-miR-7110-5p,0,hsa-miR-6881-3p,0,hsa-miR-7113-3p,0,hsa-miR-7153-5p,0,hsa-miR-7155-3p,0
2625,hsa-miR-7112-3p,0,       6,hsa-miR-30e-5p,hsa-miR-759,0,hsa-miR-6888-3p,0,hsa-miR-7158-3p,0,hsa-miR-6859-5p,0,hsa-miR-7150,0,hsa-miR-7160-5p,0,hsa-miR-7113-3p,0,hsa-miR-6845-5p,0,hsa-miR-8058,0,hsa-miR-6894-3p,0,hsa-miR-7106-3p,0,hsa-miR-6854-3p,0,hsa-miR-7162-3p,0,hsa-miR-6819-5p,0,hsa-miR-7111-3p,0,hsa-miR-6881-5p,0,hsa-miR-7113-5p,0,hsa-miR-7154-3p,0,hsa-miR-7155-5p,0
2626,hsa-miR-7112-5p,0,       6,hsa-miR-3136-5p,hsa-miR-760,5,hsa-miR-6888-5p,0,hsa-miR-7158-5p,0,hsa-miR-6860,0,hsa-miR-7151-3p,0,hsa-miR-7161-3p,0,hsa-miR-7113-5p,0,hsa-miR-6846-3p,0,hsa-miR-8059,0,hsa-miR-6894-5p,0,hsa-miR-7106-5p,0,hsa-miR-6854-5p,0,hsa-miR-7162-5p,0,hsa-miR-6820-3p,2,hsa-miR-7111-5p,0,hsa-miR-6882-3p,0,hsa-miR-7114-3p,0,hsa-miR-7154-5p,0,hsa-miR-7156-3p,0
2627,hsa-miR-7113-3p,0,       6,hsa-miR-34a-5p,hsa-miR-761,0,hsa-miR-6889-3p,0,hsa-miR-7159-3p,0,hsa-miR-6861-3p,0,hsa-miR-7151-5p,0,hsa-miR-7161-5p,0,hsa-miR-7114-3p,0,hsa-miR-6846-5p,0,hsa-miR-8060,0,hsa-miR-6895-3p,0,hsa-miR-7107-3p,0,hsa-miR-6855-3p,0,hsa-miR-718,0,hsa-miR-6820-5p,0,hsa-miR-7112-3p,0,hsa-miR-6882-5p,0,hsa-miR-7114-5p,0,hsa-miR-7155-3p,0,hsa-miR-7156-5p,0
2628,hsa-miR-7113-5p,0,       6,hsa-miR-4670-5p,hsa-miR-762,0,hsa-miR-6889-5p,0,hsa-miR-7159-5p,0,hsa-miR-6861-5p,0,hsa-miR-7152-3p,0,hsa-miR-7162-3p,0,hsa-miR-7114-5p,0,hsa-miR-6847-3p,0,hsa-miR-8061,0,hsa-miR-6895-5p,0,hsa-miR-7107-5p,0,hsa-miR-6855-5p,1,hsa-miR-744-3p,0,hsa-miR-6821-3p,0,hsa-miR-7112-5p,0,hsa-miR-6883-3p,0,hsa-miR-7150,0,hsa-miR-7155-5p,0,hsa-miR-7157-3p,0
2629,hsa-miR-7114-3p,0,       6,hsa-miR-548d-5p,hsa-miR-764,0,hsa-miR-6890-3p,0,hsa-miR-7160-3p,0,hsa-miR-6862-3p,0,hsa-miR-7152-5p,0,hsa-miR-7162-5p,0,hsa-miR-7150,0,hsa-miR-6847-5p,1,hsa-miR-8062,0,hsa-miR-7-1-3p,0,hsa-miR-7108-3p,0,hsa-miR-6856-3p,0,hsa-miR-744-5p,25,hsa-miR-6821-5p,0,hsa-miR-7113-3p,0,hsa-miR-6883-5p,0,hsa-miR-7151-3p,0,hsa-miR-7156-3p,0,hsa-miR-7157-5p,0
2630,hsa-miR-7114-5p,0,       7,hsa-let-7e-5p,hsa-miR-765,0,hsa-miR-6890-5p,0,hsa-miR-7160-5p,0,hsa-miR-6862-5p,2,hsa-miR-7153-3p,0,hsa-miR-718,0,hsa-miR-7151-3p,0,hsa-miR-6848-3p,0,hsa-miR-8063,0,hsa-miR-7-2-3p,0,hsa-miR-7108-5p,0,hsa-miR-6856-5p,0,hsa-miR-744-5p,76,hsa-miR-6822-3p,0,hsa-miR-7113-5p,0,hsa-miR-6884-3p,0,hsa-miR-7151-5p,0,hsa-miR-7156-5p,0,hsa-miR-7158-3p,0
2631,hsa-miR-7150,0,       7,hsa-miR-1224-3p,hsa-miR-766-3p,0,hsa-miR-6891-3p,0,hsa-miR-7161-3p,0,hsa-miR-6863,0,hsa-miR-7153-5p,0,hsa-miR-744-3p,0,hsa-miR-7151-5p,0,hsa-miR-6848-5p,0,hsa-miR-8064,0,hsa-miR-7-5p,0,hsa-miR-7109-3p,0,hsa-miR-6857-3p,0,hsa-miR-7515,0,hsa-miR-6822-5p,0,hsa-miR-7114-3p,0,hsa-miR-6884-5p,0,hsa-miR-7152-3p,0,hsa-miR-7157-3p,0,hsa-miR-7158-5p,0
2632,hsa-miR-7151-3p,0,       7,hsa-miR-1295a,hsa-miR-766-5p,0,hsa-miR-6891-5p,0,hsa-miR-7161-5p,0,hsa-miR-6864-3p,0,hsa-miR-7154-3p,0,hsa-miR-744-5p,21,hsa-miR-7152-3p,0,hsa-miR-6849-3p,0,hsa-miR-8065,0,hsa-miR-708-3p,0,hsa-miR-7109-5p,0,hsa-miR-6857-5p,0,hsa-miR-758-3p,0,hsa-miR-6823-3p,0,hsa-miR-7114-5p,0,hsa-miR-6885-3p,0,hsa-miR-7152-5p,0,hsa-miR-7157-5p,0,hsa-miR-7159-3p,0
2633,hsa-miR-7151-5p,0,       7,hsa-miR-1306-3p,hsa-miR-767-3p,0,hsa-miR-6892-3p,0,hsa-miR-7162-3p,0,hsa-miR-6864-5p,0,hsa-miR-7154-5p,0,hsa-miR-744-5p,76,hsa-miR-7152-5p,0,hsa-miR-6849-5p,0,hsa-miR-8066,0,hsa-miR-708-5p,0,hsa-miR-711,0,hsa-miR-6858-3p,0,hsa-miR-758-5p,0,hsa-miR-6823-5p,0,hsa-miR-7150,0,hsa-miR-6885-5p,0,hsa-miR-7153-3p,0,hsa-miR-7158-3p,0,hsa-miR-7159-5p,0
2634,hsa-miR-7152-3p,0,       7,hsa-miR-18a-3p,hsa-miR-767-5p,0,hsa-miR-6892-5p,0,hsa-miR-7162-5p,0,hsa-miR-6865-3p,0,hsa-miR-7155-3p,0,hsa-miR-7515,0,hsa-miR-7153-3p,0,hsa-miR-6850-3p,0,hsa-miR-8067,0,hsa-miR-7106-3p,0,hsa-miR-7110-3p,0,hsa-miR-6858-5p,0,hsa-miR-759,0,hsa-miR-6824-3p,0,hsa-miR-7151-3p,0,hsa-miR-6886-3p,0,hsa-miR-7153-5p,0,hsa-miR-7158-5p,0,hsa-miR-7160-3p,0
2635,hsa-miR-7152-5p,0,       7,hsa-miR-27a-5p,hsa-miR-769-3p,1,hsa-miR-6893-3p,0,hsa-miR-718,0,hsa-miR-6865-5p,0,hsa-miR-7155-5p,0,hsa-miR-758-3p,0,hsa-miR-7153-5p,0,hsa-miR-6850-5p,0,hsa-miR-8068,0,hsa-miR-7106-5p,0,hsa-miR-7110-5p,0,hsa-miR-6859-3p,0,hsa-miR-760,0,hsa-miR-6824-5p,0,hsa-miR-7151-5p,0,hsa-miR-6886-5p,0,hsa-miR-7154-3p,0,hsa-miR-7159-3p,0,hsa-miR-7160-5p,0
2636,hsa-miR-7153-3p,0,       7,hsa-miR-302a-5p,hsa-miR-769-3p,3,hsa-miR-6893-5p,0,hsa-miR-744-3p,0,hsa-miR-6866-3p,0,hsa-miR-7156-3p,0,hsa-miR-758-5p,0,hsa-miR-7154-3p,0,hsa-miR-6851-3p,0,hsa-miR-8069,0,hsa-miR-7107-3p,0,hsa-miR-7111-3p,0,hsa-miR-6859-5p,0,hsa-miR-760,1,hsa-miR-6825-3p,0,hsa-miR-7152-3p,0,hsa-miR-6887-3p,0,hsa-miR-7154-5p,0,hsa-miR-7159-5p,0,hsa-miR-7161-3p,0
2637,hsa-miR-7153-5p,0,       7,hsa-miR-320a-5p,hsa-miR-769-5p,6,hsa-miR-6894-3p,0,hsa-miR-744-5p,24,hsa-miR-6866-5p,0,hsa-miR-7156-5p,0,hsa-miR-759,0,hsa-miR-7154-5p,0,hsa-miR-6851-5p,0,hsa-miR-8070,0,hsa-miR-7107-5p,0,hsa-miR-7111-5p,0,hsa-miR-6860,0,hsa-miR-761,0,hsa-miR-6825-5p,0,hsa-miR-7152-5p,0,hsa-miR-6887-5p,0,hsa-miR-7155-3p,1,hsa-miR-7160-3p,0,hsa-miR-7161-5p,0
2638,hsa-miR-7154-3p,0,       7,hsa-miR-382-3p,hsa-miR-769-5p,17,hsa-miR-6894-5p,0,hsa-miR-744-5p,71,hsa-miR-6867-3p,0,hsa-miR-7157-3p,0,hsa-miR-760,2,hsa-miR-7155-3p,1,hsa-miR-6852-3p,0,hsa-miR-8071,0,hsa-miR-7108-3p,0,hsa-miR-7112-3p,0,hsa-miR-6861-3p,0,hsa-miR-762,0,hsa-miR-6826-3p,0,hsa-miR-7153-3p,0,hsa-miR-6888-3p,0,hsa-miR-7155-5p,0,hsa-miR-7160-5p,0,hsa-miR-7162-3p,0
2639,hsa-miR-7154-5p,0,       7,hsa-miR-501-5p,hsa-miR-770-5p,0,hsa-miR-6895-3p,0,hsa-miR-7515,0,hsa-miR-6867-5p,0,hsa-miR-7157-5p,0,hsa-miR-761,0,hsa-miR-7155-5p,0,hsa-miR-6852-5p,0,hsa-miR-8072,0,hsa-miR-7108-5p,0,hsa-miR-7112-5p,0,hsa-miR-6861-5p,0,hsa-miR-764,0,hsa-miR-6826-5p,0,hsa-miR-7153-5p,0,hsa-miR-6888-5p,0,hsa-miR-7156-3p,0,hsa-miR-7161-3p,0,hsa-miR-7162-5p,0
2640,hsa-miR-7155-3p,0,       7,hsa-miR-555,hsa-miR-7702,0,hsa-miR-6895-5p,0,hsa-miR-758-3p,1,hsa-miR-6868-3p,0,hsa-miR-7158-3p,0,hsa-miR-762,0,hsa-miR-7156-3p,0,hsa-miR-6853-3p,0,hsa-miR-8073,0,hsa-miR-7109-3p,0,hsa-miR-7113-3p,0,hsa-miR-6862-3p,0,hsa-miR-765,0,hsa-miR-6827-3p,0,hsa-miR-7154-3p,0,hsa-miR-6889-3p,0,hsa-miR-7156-5p,0,hsa-miR-7161-5p,0,hsa-miR-718,0
2641,hsa-miR-7155-5p,0,       8,hsa-miR-186-5p,hsa-miR-7703,0,hsa-miR-7-1-3p,0,hsa-miR-758-3p,2,hsa-miR-6868-5p,0,hsa-miR-7158-5p,0,hsa-miR-764,0,hsa-miR-7156-5p,0,hsa-miR-6853-5p,0,hsa-miR-8074,0,hsa-miR-7109-5p,0,hsa-miR-7113-5p,0,hsa-miR-6862-5p,1,hsa-miR-766-3p,0,hsa-miR-6827-5p,0,hsa-miR-7154-5p,0,hsa-miR-6889-5p,0,hsa-miR-7157-3p,0,hsa-miR-7162-3p,0,hsa-miR-744-3p,0
2642,hsa-miR-7156-3p,0,       8,hsa-miR-193b-3p,hsa-miR-7704,0,hsa-miR-7-2-3p,0,hsa-miR-758-5p,0,hsa-miR-6869-3p,0,hsa-miR-7159-3p,0,hsa-miR-765,0,hsa-miR-7157-3p,0,hsa-miR-6854-3p,0,hsa-miR-8075,0,hsa-miR-711,0,hsa-miR-7114-3p,0,hsa-miR-6863,0,hsa-miR-766-5p,0,hsa-miR-6828-3p,0,hsa-miR-7155-3p,0,hsa-miR-6890-3p,0,hsa-miR-7157-5p,0,hsa-miR-7162-5p,0,hsa-miR-744-5p,33
2643,hsa-miR-7156-5p,0,       8,hsa-miR-205-3p,hsa-miR-7705,0,hsa-miR-7-5p,0,hsa-miR-759,0,hsa-miR-6869-5p,0,hsa-miR-7159-5p,0,hsa-miR-766-3p,0,hsa-miR-7157-5p,0,hsa-miR-6854-5p,0,hsa-miR-8076,0,hsa-miR-7110-3p,0,hsa-miR-7114-5p,0,hsa-miR-6864-3p,0,hsa-miR-767-3p,0,hsa-miR-6828-5p,0,hsa-miR-7155-5p,0,hsa-miR-6890-5p,0,hsa-miR-7158-3p,0,hsa-miR-718,0,hsa-miR-744-5p,76
2644,hsa-miR-7157-3p,0,       8,hsa-miR-2052,hsa-miR-7706,10,hsa-miR-708-3p,0,hsa-miR-760,0,hsa-miR-6870-3p,0,hsa-miR-7160-3p,0,hsa-miR-766-5p,0,hsa-miR-7158-3p,0,hsa-miR-6855-3p,1,hsa-miR-8077,0,hsa-miR-7110-5p,0,hsa-miR-7150,0,hsa-miR-6864-5p,0,hsa-miR-767-5p,0,hsa-miR-6829-3p,0,hsa-miR-7156-3p,0,hsa-miR-6891-3p,0,hsa-miR-7158-5p,0,hsa-miR-744-3p,0,hsa-miR-7515,0
2645,hsa-miR-7157-5p,0,       8,hsa-miR-26a-2-3p,hsa-miR-7843-3p,0,hsa-miR-708-5p,0,hsa-miR-761,0,hsa-miR-6870-5p,0,hsa-miR-7160-5p,0,hsa-miR-767-3p,0,hsa-miR-7158-5p,0,hsa-miR-6855-5p,0,hsa-miR-8078,0,hsa-miR-7111-3p,0,hsa-miR-7151-3p,0,hsa-miR-6865-3p,0,hsa-miR-769-3p,0,hsa-miR-6829-5p,0,hsa-miR-7156-5p,0,hsa-miR-6891-5p,0,hsa-miR-7159-3p,0,hsa-miR-744-5p,37,hsa-miR-758-3p,0
2646,hsa-miR-7158-3p,0,       8,hsa-miR-371a-5p,hsa-miR-7843-5p,0,hsa-miR-7106-3p,0,hsa-miR-762,0,hsa-miR-6871-3p,0,hsa-miR-7161-3p,0,hsa-miR-767-5p,0,hsa-miR-7159-3p,0,hsa-miR-6856-3p,0,hsa-miR-8079,0,hsa-miR-7111-5p,0,hsa-miR-7151-5p,0,hsa-miR-6865-5p,0,hsa-miR-769-3p,5,hsa-miR-6830-3p,0,hsa-miR-7157-3p,0,hsa-miR-6892-3p,0,hsa-miR-7159-5p,0,hsa-miR-744-5p,87,hsa-miR-758-5p,0
2647,hsa-miR-7158-5p,0,       9,hsa-miR-3158-3p,hsa-miR-7844-5p,0,hsa-miR-7106-5p,0,hsa-miR-764,0,hsa-miR-6871-5p,0,hsa-miR-7161-5p,0,hsa-miR-769-3p,0,hsa-miR-7159-5p,0,hsa-miR-6856-5p,1,hsa-miR-8080,0,hsa-miR-7112-3p,0,hsa-miR-7152-3p,0,hsa-miR-6866-3p,0,hsa-miR-769-5p,13,hsa-miR-6830-5p,0,hsa-miR-7157-5p,0,hsa-miR-6892-5p,0,hsa-miR-7160-3p,0,hsa-miR-7515,0,hsa-miR-759,0
